form	lemma	POS
les	le	DET
transitions	transition	NOUN
entre	entre	ADP
le	le	DET
point	point	NOUN
de	de	ADP
vue	vue	NOUN
psychologique	psychologique	ADJ
et	et	CCONJ
le	le	DET
point	point	NOUN
de	de	ADP
vue	vue	NOUN
physique	physique	ADJ
,	,	PUNCT
entre	entre	ADP
le	le	DET
Temps	temps	NOUN
du	de	DET
sens	sens	NOUN
commun	commun	ADJ
et	et	CCONJ
celui	celui	VERB
d'	de	ADP
Einstein	Einstein	PROPN
.	.	PUNCT
Pour	pour	ADP
cela	cela	PRON
nous	nous	PRON
devons	devoir	VERB
nous	nous	PRON
replacer	replacer	VERB
dans	dans	ADP
l'	le	DET
état	état	NOUN
d'	de	ADP
âme	âme	NOUN
où	où	PRON
l'	le	DET
on	on	PRON
pouvait	pouvoir	VERB
se	se	PRON
trouver	trouver	VERB
à	à	ADP
l'	le	DET
origine	origine	NOUN
,	,	PUNCT
alors	alors	ADV
qu'	que	SCONJ
on	on	PRON
croyait	croire	VERB
à	à	ADP
l'	le	DET
éther	éther	NOUN
immobile	immobile	ADJ
,	,	PUNCT
au	au	DET
repos	repos	NOUN
absolu	absolu	ADJ
,	,	PUNCT
et	et	CCONJ
qu'	que	SCONJ
il	il	PRON
fallait	falloir	VERB
pourtant	pourtant	ADV
rendre	rendre	VERB
compte	compte	NOUN
de	de	ADP
l'	le	DET
expérience	expérience	NOUN
Michelson	Michelson	PROPN
-	-	PROPN
Morley	Morley	PROPN
.	.	PUNCT
Nous	nous	PRON
obtiendrons	obtenir	VERB
ainsi	ainsi	ADV
une	un	DET
certaine	certain	ADJ
conception	conception	NOUN
du	de	DET
Temps	temps	NOUN
qui	qui	PRON
est	être	AUX
relativiste	relativiste	ADJ
à	à	ADP
moitié	moitié	NOUN
,	,	PUNCT
par	par	ADP
un	un	DET
côté	côté	NOUN
seulement	seulement	ADV
,	,	PUNCT
qui	qui	PRON
n'	n'	ADV
est	être	AUX
pas	pas	ADV
encore	encore	ADV
celle	celui	PRON
d'	de	ADP
Einstein	Einstein	PROPN
,	,	PUNCT
mais	mais	CCONJ
que	que	SCONJ
nous	nous	PRON
jugeons	juger	VERB
essentiel	essentiel	VERB
de	de	ADP
connaître	connaître	VERB
.	.	PUNCT
La	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
Relativité	relativité	NOUN
a	avoir	AUX
beau	beau	PROPN
n'	n'	ADV
en	en	PRON
tenir	tenir	VERB
aucun	aucun	DET
compte	compte	NOUN
dans	dans	ADP
ses	son	DET
déductions	déduction	NOUN
proprement	proprement	ADV
scientifiques	scientifique	ADJ
:	:	PUNCT
elle	lui	PRON
en	en	ADP
subit	subit	NOUN
pourtant	pourtant	ADV
l'	le	DET
influence	influence	NOUN
,	,	PUNCT
croyons	croyon	NOUN
-nous	nous	PRON
,	,	PUNCT
dès	dès	ADP
qu'	que	SCONJ
elle	lui	PRON
cesse	cesse	VERB
d'	de	ADP
être	être	AUX
une	un	DET
physique	physique	NOUN
pour	pour	ADP
devenir	devenir	VERB
une	un	DET
philosophie	philosophie	NOUN
.	.	PUNCT
Les	le	DET
paradoxes	paradoxe	NOUN
qui	qui	PRON
ont	avoir	AUX
tant	tant	ADV
effrayé	effrayer	VERB
les	le	DET
uns	un	NOUN
,	,	PUNCT
tant	tant	ADV
séduit	séduire	VERB
les	le	DET
autres	autre	ADJ
,	,	PUNCT
nous	nous	PRON
paraissent	paraître	VERB
venir	venir	VERB
de	de	ADP
là	là	ADV
.	.	PUNCT
Ils	il	PRON
tiennent	tenir	VERB
à	à	ADP
une	un	DET
équivoque	équivoque	NOUN
.	.	PUNCT
Ils	il	PRON
